# codex 表情 tips（AI翻译）
# 格式: 表情：char<TAB>中文
表情：⚕️	医神杖
表情：🕦️	十一点半
表情：🕛️	十二点钟
表情：🕧️	十二点半
表情：⏰️	闹钟
表情：🕰️	老式时钟
表情：⏲️	计时器
表情：🌧️	雨云
表情：🌨️	雪云
表情：⛅️	太阳云
表情：🌥️	隐日云
表情：🌦️	太阳雨云
表情：🌩️	雷电云
表情：🍸️	马天尼酒
表情：☕️	热饮
表情：🖥️	台式电脑
表情：🖱️	鼠标
表情：🎮️	游戏手柄
表情：©️	版权符号
表情：🛋️	沙发
表情：💑	情侣
表情：🏗️	起重机
表情：🖍️	蜡笔
表情：❌️	叉号
表情：❎️	方框叉号
表情：👯	跳舞兔子
表情：👯‍♂	男性跳舞兔子
表情：👯‍♀	女性跳舞兔子
表情：🏜️	沙漠
表情：🕵️	侦探
表情：💠	点菱形
表情：💿️	光盘
表情：🐕️	狗
表情：🕊️	和平鸽
表情：👂️	耳朵
表情：🧝	精灵
表情：❗️	感叹号
表情：❕️	白色感叹号
表情：👁️	眼睛
表情：😧	苦恼脸
表情：☺️	微笑脸
表情：☹️	皱眉头脸
表情：😐️	中性脸
表情：🏭️	工厂
表情：🧚	仙子
表情：🕉️	唵符号
表情：👪️	家庭
表情：🗃️	文件盒
表情：🗂️	文件夹分隔片
表情：🎞️	电影胶片
表情：👉️	右指
表情：👈️	左指
表情：👆️	上指
表情：👇️	下指
表情：🐟️	鱼
表情：✊️	举拳
表情：🏳️	白旗
表情：⛳️	高尔夫旗
表情：🌫️	雾
表情：📂	打开文件夹
表情：⚽️	足球
表情：⛲️	喷泉
表情：⛽️	加油站
表情：🧞	灯神
表情：🥂	碰杯
表情：👓️	眼镜
表情：🕶️	太阳镜
表情：🌎️	美洲地球
表情：🌏️	亚澳地球
表情：🌍️	欧非地球
表情：🏌️	打高尔夫球者
表情：💂	卫兵
表情：🤸	体操运动员
表情：💇	理发
表情：🛠️	扳手锤子
表情：✋️	举手掌
表情：🖐️	张开手掌
表情：🤾	手球运动员
表情：#️	井号
表情：🎧️	耳机
表情：🕳️	洞穴
表情：⌛️	沙漏
表情：⏳️	流动沙漏
表情：🏠️	房子
表情：🏚️	废弃房屋
表情：🏘️	多栋房屋
表情：🕹️	操纵杆
表情：🤹	杂耍者
表情：🚹️	男厕标志
表情：🕴️	悬浮男士
表情：👳	戴头巾男士
表情：🤵	礼服男士
表情：🈯️	指字标识
表情：🗝️	旧钥匙
表情：💏	亲吻
表情：🗡️	匕首
表情：🏷️	标签
表情：💻️	笔记本电脑
表情：☘️	三叶草
表情：⚡️	闪电
表情：🔒️	锁
表情：🔓️	开锁
表情：🧙	法师
表情：🔎	右放大镜
表情：🔍️	左放大镜
表情：🀄️	红中麻将牌
表情：📩	带箭头邮件
表情：📪️	关闭空邮箱
表情：📫️	关闭满邮箱
表情：📭️	打开空邮箱
表情：📬️	打开满邮箱
表情：🎭️	戏剧面具
表情：🎖️	军功勋章
表情：🧜	美人鱼
表情：Ⓜ️	地铁标志
表情：🎙️	演播室麦克风
表情：🎛️	混音器
表情：💰️	钱袋
表情：🌕️	满月
表情：🌜️	残月脸
表情：🌘	残月
表情：🎓️	学士帽
表情：🏍️	摩托车
表情：🛣️	高速公路
表情：🏔️	雪山
表情：🏛️	博物馆
表情：🗞️	卷起报纸
表情：⛔️	禁止进入
表情：📓	笔记本
表情：🗒️	记事本
表情：🎶	三连音符
表情：🛢️	油桶
表情：📦️	包裹
表情：📟️	寻呼机
表情：🖼️	画框
表情：🏞️	公园
表情：🚶	行人
表情：🖊️	圆珠笔
表情：🖋️	钢笔
表情：🌶️	红辣椒
表情：🧑	成人
表情：🙎	生气的人
表情：🙇	鞠躬的人
表情：🧏	失聪的人
表情：🤦	捂脸的人
表情：🙍	皱眉的人
表情：🧎	跪着的人
表情：🧘	盘腿的人
表情：💆	按摩的人
表情：🙅	拒绝手势的人
表情：🙆	OK手势的人
表情：🧓	老年人
表情：🫄	孕妇
表情：🙋	举手的人
表情：💁	娇俏的人
表情：🤷	耸肩的人
表情：🧍	站立的人
表情：🧖	桑拿的人
表情：🐖	猪
表情：🍽️	餐盘餐具
表情：⏬️	向下播放
表情：⏩️	快进播放
表情：⏪️	快退播放
表情：⏫️	向上播放
表情：👮	警察
表情：🖨️	打印机
表情：📽️	投影仪
表情：❓️	问号
表情：❔️	白色问号
表情：📻️	收音机
表情：🛤️	铁路轨道
表情：®️	注册商标符号
表情：🎗️	纪念丝带
表情：🏵️	玫瑰花结
表情：🏃	跑步者
表情：🛰️	卫星
表情：🛡️	盾牌
表情：🛳️	游轮
表情：⛴️	渡轮
表情：⛸️	冰鞋
表情：🛍️	购物袋
表情：🗣️	说话剪影
表情：☠️	骷髅骨
表情：🎚️	滑块控件
表情：🏂️	滑雪板运动
表情：⛄️	雪人
表情：☃️	下雪雪人
表情：🍲	汤碗
表情：❇️	方框闪光
表情：🎇	火花棒
表情：✨️	闪光
表情：🔈️	扬声器
表情：🕷️	蜘蛛
表情：🕸️	蜘蛛网
表情：⬛️	黑色方块
表情：▪️	黑色小方块
表情：◾️	黑色中方块
表情：◼️	黑色大方块
表情：⬜️	白色方块
表情：▫️	白色小方块
表情：◽️	白色中方块
表情：◻️	白色大方块
表情：🟦	蓝色方块
表情：🟫	棕色方块
表情：🟩	绿色方块
表情：🟧	橙色方块
表情：🟪	紫色方块
表情：🟥	红色方块
表情：🟨	黄色方块
表情：🏟️	体育场
表情：⭐️	星星
表情：💫	弧线星星
表情：🌤️	晴间多云
表情：🌅	日出
表情：🦸	超级英雄
表情：🦹	超级反派
表情：🏄️	冲浪者
表情：🏊️	游泳者
表情：🚖	出租车前视图
表情：⛺️	帐篷
表情：🌡️	温度计
表情：👍️	点赞拇指
表情：👎️	踩拇指
表情：🎟️	活动门票
表情：🐅	老虎
表情：™️	商标符号
表情：🌪️	龙卷风
表情：🖲️	轨迹球
表情：🚦	竖式红绿灯
表情：🚇️	地铁列车
表情：🚊	有轨电车
表情：⛎️	蛇夫座
表情：📥️	收件箱托盘
表情：📤️	发件箱托盘
表情：🏆️	奖杯
表情：📺️	电视机
表情：☔️	雨伞
表情：🦳	未知人物
表情：🧛	吸血鬼
表情：⌚️	手表
表情：⏱️	秒表
表情：🤽	水球运动员
表情：🏋️	举重运动员
表情：🐋	鲸鱼
表情：♿️	轮椅标志
表情：🌬️	风
表情：🚺️	女厕标志
表情：🤼	摔跤手
表情：♒️	水瓶座
表情：♈️	白羊座
表情：♋️	巨蟹座
表情：♑️	摩羯座
表情：♊️	双子座
表情：♌️	狮子座
表情：♎️	天秤座
表情：⛎️	蛇夫座
表情：♓️	双鱼座
表情：♐️	射手座
表情：♏️	天蝎座
表情：♉️	金牛座
表情：♍️	处女座
表情：🧟	僵尸
